bowler,economy_rate
A Ashish Reddy,8.955223880597016
A Badoni,8.879999999999999
A Chandila,6.282051282051282
A Choudhary,8.074766355140188
A Dananjaya,11.28
A Flintoff,9.636363636363637
A Kamboj,10.454545454545455
A Kumble,6.680981595092025
A Mishra,7.3496932515337425
A Mithun,9.445544554455445
A Nehra,7.746564885496183
A Nel,10.333333333333334
A Nortje,8.892561983471074
A Singh,7.905154639175258
A Symonds,7.725417439703154
A Uniyal,10.578947368421053
A Zampa,7.934117647058824
AA Chavan,7.976470588235294
AA Jhunjhunwala,8.863636363636363
AA Kazi,9.692307692307693
AA Noffke,9.84
AB Agarkar,8.61124694376528
AB Dinda,8.01142857142857
AB McDonald,8.393617021276595
AC Gilchrist,0.0
AC Thomas,7.680000000000001
AC Voges,8.142857142857142
AD Mascarenhas,7.064516129032258
AD Mathews,8.15136476426799
AD Russell,9.168654173764907
AF Milne,9.416666666666666
AG Murtaza,7.182156133828996
AJ Finch,9.136363636363637
AJ Hosein,10.25
AJ Tye,8.469101123595506
AK Markram,8.508196721311476
AL Menaria,7.646017699115045
AM Nayar,8.10878661087866
AM Rahane,5.0
AM Salvi,7.884615384615385
AN Ahmed,8.655462184873949
AP Dole,9.5
AR Patel,7.279187817258883
AS Joseph,9.364238410596027
AS Rajpoot,9.075268817204302
AS Raut,9.0
AS Roy,8.070422535211268
AU Rashid,9.1
AUK Pathan,9.219512195121952
Abdul Samad,12.327272727272728
Abdur Razzak,13.384615384615385
Abhishek Sharma,8.577617328519857
Akash Deep,11.368421052631579
Akash Madhwal,9.50735294117647
Akash Singh,9.659574468085106
Aman Hakim Khan,13.0
Anand Rajan,7.677018633540373
Ankit Sharma,7.248
Ankit Soni,7.767857142857142
Anureet Singh,9.02127659574468
Arjun Tendulkar,8.560975609756097
Arshad Khan,11.058823529411764
Arshad Khan (2),11.53846153846154
Arshdeep Singh,8.689226519337016
Atharva Taide,24.0
Avesh Khan,8.7012987012987
Azhar Mahmood,7.755027422303473
Azmatullah Omarzai,8.885496183206108
B Akhil,7.6875
B Chipli,20.0
B Geeves,11.142857142857144
B Kumar,7.486660079051384
B Laughlin,9.573033707865168
B Lee,7.48172757475083
B Stanlake,8.0
BA Bhatt,8.105960264900661
BA Stokes,8.536856745479833
BAW Mendis,7.433198380566802
BB Sran,8.970760233918128
BCJ Cutting,8.958333333333334
BE Hendricks,9.192307692307692
BJ Hodge,7.815126050420169
BJ Rohrer,10.285714285714285
BMAJ Mendis,7.2
BW Hilfenhaus,7.705426356589148
Basil Thampi,9.613382899628252
Bipul Sharma,7.9954128440366965
C Ganapathy,13.0
C Green,8.785249457700651
C Munro,7.5
C Nanda,6.959999999999999
C Sakariya,8.043956043956044
C de Grandhomme,8.5
CH Gayle,7.796901893287436
CH Morris,7.94097995545657
CJ Anderson,10.0
CJ Dala,10.736842105263158
CJ Green,8.470588235294118
CJ Jordan,9.362359550561797
CJ McKay,8.571428571428571
CK Kapugedera,17.294117647058822
CK Langeveldt,7.2804878048780495
CL White,11.217391304347826
CR Brathwaite,8.760456273764259
CR Woakes,8.753246753246753
CRD Fernando,7.493877551020407
CV Varun,7.572311495673671
D Brevis,16.0
D Jansen,11.357142857142856
D Kalyankrishna,10.559999999999999
D Pretorius,8.74698795180723
D Salunkhe,9.6
D Wiese,8.764705882352942
D du Preez,8.0
DA Warner,6.0
DAJ Bracewell,7.68
DB Ravi Teja,9.333333333333334
DE Bollinger,7.183946488294314
DG Nalkande,10.227272727272728
DJ Bravo,8.09735320961363
DJ Harris,8.666666666666666
DJ Hooda,8.359375
DJ Hussey,9.009287925696594
DJ Mitchell,11.411764705882353
DJ Muthuswami,7.714285714285714
DJ Thornely,5.454545454545455
DJ Willey,7.520361990950226
DJG Sammy,8.776859504132231
DJM Short,7.666666666666667
DL Chahar,7.730040206777714
DL Vettori,6.83312101910828
DNT Zoysa,8.955223880597016
DP Nannes,7.138686131386861
DP Vijaykumar,7.834394904458598
DR Sams,8.186046511627907
DR Smith,8.95117540687161
DS Kulkarni,8.067415730337078
DT Christian,7.952121871599565
DW Steyn,6.812307692307692
F du Plessis,16.0
FA Allen,8.967032967032967
FH Edwards,6.442953020134229
FY Fazal,10.0
Fazalhaq Farooqi,8.481481481481481
G Coetzee,9.962790697674418
GB Hogg,7.548387096774194
GC Viljoen,9.41095890410959
GD McGrath,6.695121951219512
GD Phillips,7.741935483870967
GH Vihari,6.697674418604651
GHS Garton,8.589473684210526
GJ Maxwell,8.151295336787564
GR Napier,7.0
GS Sandhu,10.75
Gagandeep Singh,10.142857142857142
Gulbadin Naib,12.0
Gurkeerat Singh,7.097560975609756
Gurnoor Brar,13.263157894736842
H Sharma,12.4
HF Gurney,8.535714285714286
HH Pandya,8.902702702702703
HR Shokeen,9.09952606635071
HV Patel,8.505291005291005
Harbhajan Singh,7.046391752577319
Harmeet Singh,7.863157894736842
Harpreet Brar,7.864161849710983
Harshit Rana,8.827930174563592
I Malhotra,23.0
I Sharma,8.11720698254364
I Udana,9.428571428571429
IC Pandey,7.824411134903641
IC Porel,9.692307692307693
IK Pathan,7.701704545454546
IS Sodhi,6.725274725274725
Imran Tahir,7.747572815533981
Iqbal Abdulla,7.158006362672323
J Botha,6.922425952045134
J Little,8.669491525423728
J Suchith,8.350230414746544
J Syed Mohammad,8.755102040816327
J Theron,8.008583690987123
J Yadav,6.7727272727272725
JA Morkel,8.05685618729097
JA Richardson,10.340425531914894
JC Archer,7.400611620795107
JD Ryder,7.817427385892117
JD Unadkat,8.807113543091655
JDP Oram,8.938271604938272
JDS Neesham,9.243243243243244
JE Root,7.5
JE Taylor,8.28099173553719
JEC Franklin,8.823529411764707
JH Kallis,7.870391061452515
JJ Bumrah,7.309644670050761
JJ van der Wath,10.864864864864865
JL Pattinson,8.675675675675675
JM Kemp,7.404255319148937
JO Holder,8.541108986615678
JP Behrendorff,8.91292875989446
JP Duminy,7.249643366619116
JP Faulkner,8.653666146645866
JPR Scantlebury-Searles,11.866666666666667
JR Hazlewood,8.03225806451613
JR Hopes,9.138211382113822
JW Hastings,6.6
Jalaj S Saxena,9.0
Jaskaran Singh,9.757009345794394
Joginder Sharma,9.532075471698114
K Goel,8.417910447761194
K Gowtham,8.263772954924875
K Kartikeya,8.315352697095436
K Khejroliya,10.440944881889763
K Rabada,8.39240506329114
K Santokie,10.705882352941176
K Upadhyay,8.678571428571429
K Yadav,9.444444444444445
KA Jamieson,9.238636363636363
KA Maharaj,6.5
KA Pollard,8.365019011406844
KAJ Roach,9.411764705882353
KC Cariappa,9.432432432432432
KH Pandya,7.277064220183487
KJ Abbott,10.811881188118813
KK Ahmed,8.588059701492536
KK Cooper,7.903171953255426
KL Nagarkoti,9.308108108108108
KM Asif,9.80281690140845
KMA Paul,8.194285714285714
KMDN Kulasekara,6.841121495327103
KP Appanna,7.864864864864865
KP Pietersen,7.266666666666667
KR Mayers,8.045454545454545
KR Sen,9.391304347826088
KS Williamson,10.333333333333334
KT Maphaka,13.846153846153847
KV Sharma,8.407894736842104
KW Richardson,8.330434782608696
Kamran Khan,8.454545454545455
Karanveer Singh,9.098591549295774
Kartik Tyagi,9.6
Kuldeep Yadav,8.115470852017937
L Ablish,10.133333333333333
L Balaji,7.960509554140127
L Ngidi,8.117647058823529
L Wood,15.243243243243242
LA Carseldine,5.142857142857142
LB Williams,10.829268292682928
LE Plunkett,8.883116883116882
LH Ferguson,8.76737160120846
LI Meriwala,10.666666666666666
LJ Wright,10.0
LMP Simmons,11.333333333333334
LPC Silva,21.0
LR Shukla,8.481481481481481
LRPL Taylor,11.076923076923078
LS Livingstone,8.876404494382022
Lalit Yadav,8.805460750853243
M Ashwin,7.924022346368716
M Jansen,9.15
M Kartik,7.228547153780799
M Manhas,6.0
M Markande,8.8125
M Morkel,7.601423487544484
M Muralitharan,6.7067764407853065
M Ntini,7.308056872037915
M Pathirana,7.374501992031872
M Prasidh Krishna,8.59753086419753
M Shahrukh Khan,8.0
M Siddharth,7.7142857142857135
M Theekshana,7.740095087163232
M Vijay,7.945945945945946
M de Lange,9.0
MA Khote,10.4
MA Starc,8.047945205479452
MA Wood,9.142857142857142
MB Parmar,10.421052631578949
MC Henriques,7.987730061349693
MF Maharoof,7.321100917431192
MG Bracewell,8.636363636363637
MG Johnson,8.08049535603715
MG Neser,15.5
MJ Clarke,6.545454545454546
MJ Henry,10.457142857142857
MJ McClenaghan,8.252804786836201
MJ Santner,6.959349593495935
MJ Suthar,13.0
MK Lomror,8.106382978723405
MK Tiwary,11.066666666666666
MM Ali,7.0221066319895975
MM Patel,7.584245076586433
MM Sharma,8.547588005215124
MN Samuels,7.808219178082192
MP Stoinis,9.397590361445783
MP Yadav,7.04
MR Marsh,8.166101694915255
MS Gony,8.589130434782609
MW Short,6.0
Mandeep Singh,13.0
Mashrafe Mortaza,13.615384615384617
Mayank Dagar,8.91304347826087
Mohammad Asif,9.303030303030303
Mohammad Hafeez,6.870967741935483
Mohammad Nabi,7.5465393794749405
Mohammed Shami,8.319809069212411
Mohammed Siraj,8.376266280752533
Mohit Rathee,14.5
Mohsin Khan,8.2603550295858
Monu Kumar,8.0
Mujeeb Ur Rahman,7.938053097345133
Mukesh Choudhary,9.131313131313131
Mukesh Kumar,10.197115384615385
Mustafizur Rahman,7.988112927191679
N Burger,8.685714285714285
N Rana,8.205405405405406
N Thushara,9.141176470588235
N Wadhera,6.5
NA Saini,17.5
NB Singh,4.319999999999999
ND Doshi,8.31578947368421
NJ Rimmington,6.666666666666667
