match_id,batter,batsman_runs
335982,AA Noffke,9
335982,B Akhil,0
335982,BB McCullum,158
335982,CL White,6
335982,DJ Hussey,12
335982,JH Kallis,8
335982,MV Boucher,7
335982,Mohammad Hafeez,5
335982,P Kumar,18
335982,R Dravid,2
335982,RT Ponting,20
335982,SB Joshi,3
335982,SC Ganguly,10
335982,V Kohli,1
335982,W Jaffer,6
335982,Z Khan,3
335983,IK Pathan,3
335983,JDP Oram,13
335983,JR Hopes,71
335983,K Goel,24
335983,KC Sangakkara,54
335983,MEK Hussey,116
335983,ML Hayden,25
335983,MS Dhoni,2
335983,PA Patel,15
335983,S Badrinath,31
335983,SK Raina,32
335983,SM Katich,21
335983,Yuvraj Singh,23
335984,D Salunkhe,26
335984,DS Lehmann,1
335984,G Gambhir,58
335984,M Kaif,9
335984,M Rawat,2
335984,RA Jadeja,29
335984,S Dhawan,52
335984,SK Trivedi,3
335984,SK Warne,14
335984,SR Watson,21
335984,T Kohli,7
335984,V Sehwag,12
335984,YK Pathan,10
335985,AM Nayar,20
335985,B Akhil,3
335985,DJ Thornely,0
335985,Harbhajan Singh,2
335985,JH Kallis,25
335985,L Ronchi,8
335985,LRPL Taylor,23
335985,MV Boucher,39
335985,PR Shah,19
335985,R Dravid,32
335985,RV Uthappa,48
335985,S Chanderpaul,16
335985,SM Pollock,28
335985,ST Jayasuriya,29
335985,V Kohli,23
335986,A Symonds,32
335986,AC Gilchrist,23
335986,AS Yadav,10
335986,BB McCullum,5
335986,DJ Hussey,38
335986,LR Shukla,4
335986,Mohammad Hafeez,13
335986,RG Sharma,0
335986,RP Singh,1
335986,RT Ponting,0
335986,SB Bangar,14
335986,SB Styris,6
335986,SC Ganguly,14
335986,VVS Laxman,0
335986,WP Saha,10
335986,WPUJC Vaas,0
335986,Y Venugopal Rao,14
335987,B Lee,0
335987,DPMD Jayawardene,2
335987,DS Lehmann,17
335987,IK Pathan,12
335987,JR Hopes,16
335987,K Goel,26
335987,KC Sangakkara,20
335987,Kamran Akmal,15
335987,M Kaif,5
335987,PP Chawla,24
335987,RA Jadeja,36
335987,S Sohal,4
335987,SR Watson,76
335987,WA Mota,1
335987,YK Pathan,7
335987,Yuvraj Singh,57
335988,A Symonds,12
335988,AC Gilchrist,8
335988,AS Yadav,12
335988,G Gambhir,12
335988,RG Sharma,66
335988,RP Singh,1
335988,S Dhawan,25
335988,SB Bangar,8
335988,Shahid Afridi,2
335988,V Sehwag,94
335988,VVS Laxman,2
335988,WPUJC Vaas,12
335988,Y Venugopal Rao,14
335989,A Nehra,1
335989,AM Nayar,45
335989,DJ Bravo,24
335989,Harbhajan Singh,28
335989,JDP Oram,5
335989,L Ronchi,2
335989,MA Khote,9
335989,MEK Hussey,5
335989,ML Hayden,81
335989,MS Dhoni,30
335989,PA Patel,14
335989,RV Uthappa,43
335989,S Badrinath,2
335989,SK Raina,53
335989,SM Pollock,17
335989,ST Jayasuriya,20
335990,A Symonds,117
335990,AC Gilchrist,13
335990,AS Yadav,16
335990,D Salunkhe,1
335990,GC Smith,71
335990,Kamran Akmal,12
335990,M Kaif,34
335990,Pankaj Singh,4
335990,RA Jadeja,1
335990,RG Sharma,36
335990,SK Warne,22
335990,SR Watson,4
335990,Shahid Afridi,10
335990,VVS Laxman,16
335990,YK Pathan,61
335991,A Nehra,2
335991,AM Nayar,2
335991,B Lee,16
335991,DJ Bravo,23
335991,DPMD Jayawardene,12
335991,DS Kulkarni,2
335991,Harbhajan Singh,0
335991,IK Pathan,6
335991,K Goel,18
335991,KC Sangakkara,94
335991,L Ronchi,11
335991,MA Khote,8
335991,PP Chawla,0
335991,RR Sarwan,7
335991,RV Uthappa,21
335991,S Sohal,0
335991,S Sreesanth,0
335991,SM Pollock,22
335991,SS Tiwary,17
335991,ST Jayasuriya,1
335991,VRV Singh,4
335991,Yuvraj Singh,18
335992,GC Smith,49
335992,JH Kallis,11
335992,LRPL Taylor,44
335992,M Kaif,4
335992,M Rawat,0
335992,MV Boucher,4
335992,P Kumar,34
335992,R Dravid,0
335992,R Vinay Kumar,1
335992,S Chanderpaul,2
335992,SB Joshi,3
335992,SR Watson,61
335992,V Kohli,13
335992,YK Pathan,21
335992,Z Khan,17
335993,AB Agarkar,11
335993,BB McCullum,24
335993,DJ Hussey,0
335993,I Sharma,4
335993,LR Shukla,42
335993,M Kartik,3
335993,ML Hayden,70
335993,MS Dhoni,43
335993,Mohammad Hafeez,16
335993,PA Patel,21
335993,RT Ponting,0
335993,SC Ganguly,12
335993,WP Saha,27
335994,AC Gilchrist,109
335994,AM Nayar,34
335994,AM Rahane,0
335994,DJ Bravo,34
335994,L Ronchi,13
335994,MA Khote,7
335994,RV Uthappa,6
335994,SM Pollock,31
335994,ST Jayasuriya,18
335994,VVS Laxman,37
335995,B Lee,1
335995,DPMD Jayawardene,15
335995,G Gambhir,18
335995,IK Pathan,10
335995,K Goel,1
335995,KC Sangakkara,4
335995,KD Karthik,24
335995,MF Maharoof,18
335995,MK Tiwary,39
335995,R Bhatia,17
335995,S Dhawan,0
335995,SM Katich,75
335995,Shoaib Malik,19
335995,TM Srivastava,7
335995,V Sehwag,6
335995,VY Mahesh,6
335995,Yuvraj Singh,40
335996,B Akhil,2
335996,B Chipli,8
335996,DW Steyn,1
335996,JH Kallis,14
335996,LRPL Taylor,53
335996,MEK Hussey,47
335996,ML Hayden,13
335996,MS Dhoni,65
335996,MV Boucher,4
335996,P Kumar,6
335996,PA Patel,21
335996,R Dravid,0
335996,SK Raina,28
335996,V Kohli,12
335996,W Jaffer,50
335996,Z Khan,8
335997,AB Agarkar,2
335997,AM Rahane,4
335997,BB McCullum,1
335997,DB Das,29
335997,DJ Bravo,64
335997,DJ Hussey,17
335997,LR Shukla,40
335997,M Kartik,10
335997,MK Pandey,0
335997,Mohammad Hafeez,2
335997,RT Ponting,19
335997,RV Uthappa,37
335997,SC Ganguly,4
335997,ST Jayasuriya,18
335998,G Gambhir,86
335998,JH Kallis,54
335998,KD Karthik,2
335998,LRPL Taylor,29
335998,MK Tiwary,11
335998,MV Boucher,31
335998,P Kumar,6
335998,R Bhatia,8
335998,R Dravid,38
335998,S Dhawan,50
335998,Shoaib Malik,6
335998,V Kohli,1
335998,V Sehwag,24
335998,W Jaffer,10
335999,AC Gilchrist,6
335999,D Kalyankrishna,3
335999,DNT Zoysa,1
335999,DPMD Jayawardene,45
335999,HH Gibbs,7
335999,KC Sangakkara,3
335999,RG Sharma,76
335999,RP Singh,2
335999,RR Sarwan,15
335999,SB Bangar,3
335999,SE Marsh,84
335999,Shahid Afridi,13
335999,VVS Laxman,48
335999,Y Venugopal Rao,1
335999,Yuvraj Singh,14
336000,AB Agarkar,20
336000,AB Dinda,1
336000,BJ Hodge,1
336000,DB Das,11
336000,DJ Hussey,42
336000,GC Smith,2
336000,I Sharma,1
336000,LR Shukla,2
336000,M Kaif,21
336000,M Rawat,1
336000,RA Jadeja,33
336000,SA Asnodkar,60
336000,SC Ganguly,51
336000,SK Warne,7
336000,SR Watson,0
336000,Salman Butt,7
336000,Sohail Tanvir,3
336000,Umar Gul,2
336000,WP Saha,1
336000,YK Pathan,55
336001,AB de Villiers,26
336001,G Gambhir,50
336001,JA Morkel,28
336001,MS Dhoni,32
336001,PA Patel,21
336001,S Badrinath,11
336001,S Dhawan,19
336001,S Vidyut,54
336001,SK Raina,3
336001,SP Fleming,13
336001,V Sehwag,71
336002,AC Gilchrist,46
336002,AS Yadav,8
