batter,strike_rate
A Ashish Reddy,146.59685863874344
A Badoni,136.05150214592274
A Chandila,57.14285714285714
A Chopra,75.71428571428571
A Choudhary,125.0
A Dananjaya,80.0
A Flintoff,124.0
A Kamboj,100.0
A Kumble,77.77777777777779
A Manohar,132.75862068965517
A Mishra,92.92682926829269
A Mithun,141.66666666666669
A Mukund,86.36363636363636
A Nehra,71.9298245614035
A Nortje,102.08333333333333
A Raghuvanshi,159.80392156862746
A Singh,20.0
A Symonds,131.7997293640054
A Tomar,50.0
A Uniyal,57.14285714285714
A Zampa,62.5
AA Bilakhia,84.14634146341463
AA Chavan,109.09090909090908
AA Jhunjhunwala,104.83091787439614
AA Kulkarni,112.5
AA Noffke,90.0
AB Agarkar,119.33333333333334
AB Barath,102.4390243902439
AB Dinda,56.52173913043478
AB McDonald,128.125
AB de Villiers,154.4262295081967
AC Blizzard,136.36363636363635
AC Gilchrist,142.68965517241378
AC Thomas,105.26315789473684
AC Voges,132.1167883211679
AD Hales,126.49572649572649
AD Mascarenhas,102.59740259740259
AD Mathews,127.46478873239437
AD Nath,91.83673469387756
AD Russell,176.70454545454547
AF Milne,79.3103448275862
AG Murtaza,71.42857142857143
AG Paunikar,85.96491228070175
AJ Finch,132.40506329113924
AJ Hosein,160.0
AJ Turner,88.88888888888889
AJ Tye,128.16901408450704
AK Markram,130.0653594771242
AL Menaria,113.27683615819208
AM Nayar,121.0810810810811
AM Rahane,125.39168017287952
AN Ahmed,144.0
AN Ghosh,87.5
AP Dole,154.54545454545453
AP Majumdar,117.56756756756756
AP Tare,126.49253731343283
AR Bawne,100.0
AR Patel,132.87781350482314
AS Joseph,87.09677419354838
AS Rajpoot,65.0
AS Raut,116.1676646706587
AS Roy,113.04347826086956
AS Yadav,132.43243243243242
AT Carey,118.5185185185185
AT Rayudu,129.17409387997623
AU Rashid,137.5
AUK Pathan,169.56521739130434
Abdul Basith,100.0
Abdul Samad,148.08184143222508
Abdur Razzak,0.0
Abhishek Sharma,157.37142857142857
Abishek Porel,153.19148936170214
Akash Deep,158.33333333333331
Akash Madhwal,100.0
Aman Hakim Khan,112.74509803921569
Anirudh Singh,95.45454545454545
Ankit Sharma,129.8507462686567
Ankit Soni,100.0
Anmolpreet Singh,120.8695652173913
Anuj Rawat,123.25581395348837
Anureet Singh,83.72093023255815
Arjun Tendulkar,144.44444444444443
Arshad Khan,152.38095238095238
Arshad Khan (2),125.0
Arshdeep Singh,74.35897435897436
Ashutosh Sharma,175.0
Atharva Taide,150.609756097561
Avesh Khan,170.83333333333331
Azhar Mahmood,131.97278911564624
Azmatullah Omarzai,127.27272727272727
B Akhil,143.39622641509433
B Chipli,112.90322580645163
B Indrajith,70.0
B Kumar,96.52996845425868
B Laughlin,38.46153846153847
B Lee,130.5263157894737
B Sai Sudharsan,140.68027210884352
B Stanlake,250.0
B Sumanth,94.5945945945946
BA Bhatt,85.71428571428571
BA Stokes,135.70391872278665
BAW Mendis,50.0
BB McCullum,134.79887745556596
BB Samantray,113.63636363636364
BB Sran,76.92307692307693
BCJ Cutting,173.72262773722628
BE Hendricks,33.33333333333333
BJ Haddin,163.63636363636365
BJ Hodge,126.69683257918551
BJ Rohrer,140.87591240875912
BMAJ Mendis,85.18518518518519
BR Dunk,121.21212121212122
BR Sharath,40.0
Basil Thampi,96.96969696969697
Bipul Sharma,154.54545454545453
C Green,155.3846153846154
C Madan,83.33333333333334
C Munro,127.33812949640289
C Nanda,0.0
C Sakariya,66.66666666666666
C de Grandhomme,137.72727272727272
CA Ingram,115.1685393258427
CA Lynn,142.2912205567452
CA Pujara,102.09424083769633
CH Gayle,152.7667380006114
CH Morris,156.85279187817258
CJ Anderson,128.70813397129186
CJ Ferguson,84.48275862068965
CJ Jordan,109.45945945945945
CJ McKay,53.333333333333336
CK Kapugedera,72.72727272727273
CK Langeveldt,88.88888888888889
CL White,129.12234042553192
CM Gautam,119.8581560283688
CR Brathwaite,167.59259259259258
CR Woakes,101.29870129870129
CRD Fernando,133.33333333333331
CV Varun,55.55555555555556
D Brevis,133.72093023255815
D Ferreira,72.72727272727273
D Kalyankrishna,42.857142857142854
D Padikkal,125.52334943639292
D Pretorius,157.14285714285714
D Salunkhe,137.5
D Wiese,149.4949494949495
D du Preez,76.92307692307693
DA Miller,142.6341463414634
DA Warner,142.29685807150597
DAJ Bracewell,133.33333333333331
DB Das,121.11553784860558
DB Ravi Teja,122.54901960784315
DE Bollinger,95.45454545454545
DG Nalkande,100.0
DH Yagnik,130.76923076923077
DJ Bravo,132.54035683942226
DJ Harris,112.12121212121211
DJ Hooda,131.00983020554068
DJ Hussey,125.30805687203792
DJ Jacobs,100.0
DJ Malan,104.0
DJ Mitchell,132.45283018867923
DJ Muthuswami,33.33333333333333
DJ Thornely,79.59183673469387
DJ Willey,88.33333333333333
DJG Sammy,127.15517241379311
DJM Short,117.34693877551021
DL Chahar,140.35087719298244
DL Vettori,116.34615384615385
DM Bravo,120.0
DNT Zoysa,157.14285714285714
DP Conway,144.82758620689654
DP Nannes,30.76923076923077
DP Vijaykumar,100.0
DPMD Jayawardene,126.25698324022345
DR Martyn,79.16666666666666
DR Sams,100.0
DR Shorey,76.47058823529412
DR Smith,139.067055393586
DS Kulkarni,98.11320754716981
DS Lehmann,105.88235294117648
DT Christian,117.34693877551021
DT Patil,100.0
DW Steyn,106.36942675159236
Dhruv Jurel,152.19298245614036
E Lewis,139.4456289978678
EJG Morgan,126.21184919210053
ER Dwivedi,184.6153846153846
F Behardien,107.6923076923077
F du Plessis,138.2219534321137
FA Allen,73.68421052631578
FH Edwards,80.0
FY Fazal,108.92857142857142
Fazalhaq Farooqi,23.076923076923077
G Coetzee,70.0
G Gambhir,126.2952979934112
GB Hogg,100.0
GC Smith,112.65243902439023
GC Viljoen,60.0
GD McGrath,80.0
GD Phillips,118.18181818181819
GH Vihari,89.30817610062893
GHS Garton,50.0
GJ Bailey,124.39024390243902
GJ Maxwell,161.16279069767444
GR Napier,93.75
Gulbadin Naib,126.66666666666666
Gurkeerat Singh,124.33090024330899
H Das,40.0
H Klaasen,169.45392491467578
HC Brook,124.18300653594771
HE van der Dussen,100.0
HF Gurney,20.0
HH Gibbs,113.154533844189
HH Pandya,147.66899766899766
HM Amla,144.9748743718593
HR Shokeen,104.76190476190477
HV Patel,124.50000000000001
Harbhajan Singh,141.42614601018676
Harmeet Singh,150.0
Harpreet Brar,128.02197802197801
Harpreet Singh,106.03448275862068
Harshit Rana,66.66666666666666
I Malhotra,175.0
I Sharma,85.07462686567165
I Udana,136.36363636363635
IC Pandey,0.0
IK Pathan,125.2723311546841
IR Jaggi,80.0
IS Sodhi,41.17647058823529
Imran Tahir,91.66666666666666
Iqbal Abdulla,111.39240506329114
Ishan Kishan,137.63664757938574
J Arunkumar,104.54545454545455
J Botha,116.19318181818181
